Txn Hash,Method,Block,Age,From,To,Value,Txn Fee
0x36763501ec847681e3c7dab2efeb3b66ccf7ba038ea59826f1539df6766ecd6d,Forward Call,19377565,3/6/2024 17:16,0x4a851552...E5Ea5607B ,0x5ebc127f...259dF5642 ,0,0.02193428
0x40467679107af41f9d8f4ca2b9897928d268dc7a729697ee4eeb27d053218834,Execute,19377565,3/6/2024 17:16,0xD7CcEFf2...57704Cd23 ,Uniswap: Universal Router ,0,0.02431302
0xb1d082a638142726deff26c72bf4539574ddaf8cfe5f0ee71e2b1469311f02a4,Execute,19377565,3/6/2024 17:16,0x5c138f30...7a82B251c ,Uniswap: Universal Router ,0,0.02880896
0xe8a4a2e3e8c1b5daa161919c733df92670f5601006f79725a43c10c6d934c075,Swap,19377565,3/6/2024 17:16,0xa8bf363D...7DCdd69Dc ,1inch v5: Aggregation Router ,0,0.02684847
0x719ca04e6bbf1aea328c61cc534b8d020c10b48b4143e8f113d3490ba5d56117,Unoswap,19377565,3/6/2024 17:16,0x90B0Ec4f...C5db23a87 ,1inch v5: Aggregation Router ,0,0.02414375
0x098ccc9b4b431207a0481e891c8fa7163f3ebbe8ebab4fb4c189c480829d882f,Swap,19377565,3/6/2024 17:16,0x5b2F1051...76c9F77b1 ,Metamask: Swap Router ,0.83,0.03033642
0xf432f35e26ee4b53a0ee0476d1870c23b28239b2fe2d983b85202d5a3341492b,Proxied Swap To,19377565,3/6/2024 17:16,0xEf42750E...a42299cE8 ,0xA2Fde9De...17a9c3808 ,0.477940507,0.02913988
0x1cedc8c9979a2e3c49cf58d3e3700a2252f71f845cc7bd51c21b2cfeff2551c8,Exchange,19377565,3/6/2024 17:16,0xfd7b50da...30C2Cd9FB ,0xF0d4c12A...d26C58b8D ,0,0.03121688
0xf9ed38d81438f0386fb93f69a30dd62fc46f619481ab282b8cfafe8f7dba0bbd,Bridge,19377565,3/6/2024 17:16,nekaj.eth ,0x7E7A0e20...07118C96a ,0,0.04646709
0xf0acb60c964a17440f0957fc3781157fcc09d53e7e66ea5d75074c0f1e5b2bac,Transfer,19377565,3/6/2024 17:16,0x3Aff8665...9f3B3Fbde ,Polygon (Matic): Old Matic Token ,0,0.00367462
