Movie Name,Genre,Studio,Country,Primary Language,Release Year,Duration,Avg Rating,Raters,Fans,Watched,Lists,Likes
Dangerous Minds,Drama,Don Simpson/Jerry Bruckheimer Films,USA,English,1995,"
					
					99 mins",3.17,"24,205 ratings",85 fans,"45,406 members","5,964 lists","6,292 members"
Mister Lonely,Comedy,Agnès B. Productions,France,English,2007,"
					
					112 mins",3.51,"10,975 ratings",105 fans,"17,441 members","6,336 lists","4,418 members"
Good Boy,Thriller,Fredagsfilm,Norway,Norwegian,2022,"
					
					76 mins",2.51,"16,907 ratings",9 fans,"19,273 members","3,609 lists","2,155 members"
The Forty-Year-Old Version,Drama,Hillman Grad Productions,USA,English,2020,"
					
					123 mins",3.78,"16,270 ratings",31 fans,"21,307 members","10,349 lists","6,263 members"
The Dry,Thriller,Made Up Stories,Australia,English,2020,"
					
					117 mins",3.36,"23,282 ratings",56 fans,"28,618 members","5,222 lists","5,577 members"
Adult World,Comedy,Anonymous Content,USA,English,2013,"
					
					107 mins",2.92,"18,314 ratings",138 fans,"31,345 members","4,563 lists","5,448 members"
Free Birds,Animation,Reel FX Creative Studios,USA,English,2013,"
					
					91 mins",2.52,"27,768 ratings",82 fans,"53,065 members","5,941 lists","5,375 members"
Sleep,Horror,Lewis Pictures,South Korea,Korean,2023,"
					
					95 mins",3.41,"12,027 ratings",11 fans,"14,435 members","5,901 lists","3,115 members"
Godzilla vs. Mechagodzilla,Action,TOHO,Japan,Japanese,1974,"
					
					84 mins",3.29,"18,183 ratings",93 fans,"27,013 members","16,198 lists","7,536 members"
World’s Greatest Dad,Comedy,Magnolia Pictures,USA,English,2009,"
					
					99 mins",3.43,"22,043 ratings",54 fans,"36,860 members","6,551 lists","6,637 members"
Minnie and Moskowitz,Romance,Universal Pictures,USA,English,1971,"
					
					115 mins",3.86,"10,402 ratings",115 fans,"15,683 members","7,914 lists","5,131 members"
"Honey, I Blew Up the Kid",Adventure,Walt Disney Pictures,USA,English,1992,"
					
					89 mins",2.49,"29,872 ratings",6 fans,"80,300 members","5,958 lists","4,521 members"
Mutiny on the Bounty,History,Metro-Goldwyn-Mayer,USA,English,1935,"
					
					132 mins",3.67,"12,454 ratings",8 fans,"20,159 members","19,393 lists","3,330 members"
Mr. Brooks,Thriller,Relativity Media,Ireland,English,2007,"
					
					120 mins",3.2,"26,196 ratings",30 fans,"42,365 members","5,957 lists","5,538 members"
The House on Sorority Row,Thriller,VAE Productions,USA,English,1983,"
					
					91 mins",3.07,"15,427 ratings",11 fans,"21,041 members","11,611 lists","4,605 members"
