Movie Name,Genre,Studio,Country,Primary Language,Release Year,Avg Rating,Raters,Fans,Watched,Lists,Likes,Duration (minutes)
The Kid Who Would Be King,Adventure,Working Title Films,UK,English,2019,2.92,24426,7,33665,8856,5387,120
Stray Dogs,Drama,Homegreen Films,Taiwan,Chinese,2013,3.86,8233,95,12612,8891,3521,138
Lola Montès,History,Florida Films,France,French,1955,3.92,8043,60,13092,14652,3338,116
A Haunted House,Comedy,Open Road Films,USA,English,2013,2.27,32357,59,55206,6365,6001,86
We Have Always Lived in the Castle,Mystery,Furthur Films,USA,English,2018,2.77,20597,35,29356,6116,4086,96
Fools Rush In,Romance,Columbia Pictures,USA,English,1997,2.91,21516,130,39940,6468,6381,109
My Mom Is a Character,Comedy,Cenoura Filmes,Brazil,Portuguese,2013,3.67,34239,279,52710,4982,11785,85
Marvin’s Room,Drama,Tribeca Productions,USA,English,1996,3.26,16054,28,29488,6152,4147,98
High Society,Comedy,Sol C. Siegel Productions,USA,English,1956,3.42,14679,187,25270,11028,5154,107
Charulata,Drama,R.D. Bansal & Co.,India,"Bengali, Bangla",1964,4.13,11135,331,16431,13512,6125,117
Endless Love,Drama,Bluegrass Films,USA,English,2014,2.66,24717,178,44686,7085,5664,103
Suncoast,Comedy,Searchlight Pictures,USA,English,2024,3.38,17201,80,20021,7057,5596,109
The Fan,Horror,Barbara Moorse Workshop,Germany,German,1982,3.59,7336,71,10480,9222,3067,92
Goosebumps 2: Haunted Halloween,Horror,Columbia Pictures,UK,English,2018,2.27,30886,4,48011,9091,4170,90
The Heroic Trio,Fantasy,Paka Hill Film Production Co.,Hong Kong,Cantonese,1993,3.58,13532,43,18251,8195,6596,88
Die Hard,Thriller,Gordon Company,USA,English,1988,4.07,649288,6900,1095748,162329,321675,132
Big Hero 6,Animation,Walt Disney Pictures,USA,English,2014,3.78,843123,3800,1627460,110984,398852,102
Frozen,Fantasy,Walt Disney Pictures,USA,English,2013,3.39,875850,3400,1846477,112699,284146,102
Halloween,Horror,Compass International Pictures,USA,English,1978,3.8,646134,16000,1009114,259682,303102,91
Eternals,Action,Marvel Studios,USA,English,2021,2.74,751792,746,1066790,189219,177430,156
The Irishman,History,Tribeca Productions,USA,English,2019,3.91,627880,4300,901799,173441,252757,209
The Killing of a Sacred Deer,Thriller,Element Pictures,UK,English,2017,3.74,527338,4000,710756,145286,196588,121
John Wick: Chapter 4,Action,Thunder Road,Germany,English,2023,3.93,604676,3500,760097,165778,264326,170
Kingsman: The Secret Service,Comedy,20th Century Fox,UK,English,2014,3.73,801303,5500,1393552,94132,370867,129
The Hunger Games: Mockingjay – Part 1,Thriller,Lionsgate,USA,English,2014,3.2,794950,1000,1502985,84216,256562,123
Vertigo,Romance,Paramount,USA,English,1958,4.24,460485,12000,722057,201074,228050,129
The Conjuring,Horror,Evergreen Media Group,USA,English,2013,3.57,785587,8100,1349016,147271,305856,112
